id,name,visibility,is_corporate,is_external,categories
82364,Kommunikation och insamling,public,true,false,
82367,Uppdragserfarenheter och AAR,public,true,false,
124438,Ekonomi,public,true,false,
124492,Utbildning,public,true,false,
124496,Utrustning,public,true,false,
124497,Teknik - Drift och underhåll,public,true,false,
124498,Forskning och utveckling,public,true,false,
124499,Operativa systemstöd,public,true,false,
124509,Redaktörer,public,true,false,
141588,RS Sundsvall,hidden,false,false,Huvudgrupp Stationer
141592,Karlsvik,hidden,false,false,Undergrupp till Station
141593,Stenstan,hidden,false,false,Undergrupp till Station
141607,Bilder och filmer Sundsvall,hidden,false,false,
141608,Elevutbildning,hidden,false,false,
141626,Internationellt,public,true,false,
141627,Instruktörer,hidden,false,false,
141933,Bilder och filmer,public,false,false,
141940,IT-relaterade frågor,public,true,false,
141967,Samverkan Stockholmsområdet,public,false,false,Samverkansgrupper
142777,RS Strömstad,hidden,false,false,Huvudgrupp Stationer
142778,RS Fjällbacka,hidden,false,false,Huvudgrupp Stationer
142779,RS Smögen,hidden,false,false,Huvudgrupp Stationer
142780,RS Uddevalla,hidden,false,false,Huvudgrupp Stationer
142781,RS Käringön,hidden,false,false,Huvudgrupp Stationer
142782,RS Stenungsund,hidden,false,false,Huvudgrupp Stationer
142783,RS Skärhamn,hidden,false,false,Huvudgrupp Stationer
142784,RS Rörö,hidden,false,false,Huvudgrupp Stationer
142785,RS Luleå,hidden,false,false,Huvudgrupp Stationer
142786,RS Hovås,hidden,false,false,Huvudgrupp Stationer
142787,RS Piteå,hidden,false,false,Huvudgrupp Stationer
142788,RS Skellefteå,hidden,false,false,Huvudgrupp Stationer
142789,RS Holmsund,hidden,false,false,Huvudgrupp Stationer
142790,RS Örnsköldsvik,hidden,false,false,Huvudgrupp Stationer
142791,RS Härnösand,hidden,false,false,Huvudgrupp Stationer
142793,RS Bua,hidden,false,false,Huvudgrupp Stationer
142794,RS Storsjön,hidden,false,false,Huvudgrupp Stationer
142795,RS Falkenberg,hidden,false,false,Huvudgrupp Stationer
142796,RS Grötvik,hidden,false,false,Huvudgrupp Stationer
142797,RS Lönnånger,hidden,false,false,Huvudgrupp Stationer
142798,RS Söderhamn,hidden,false,false,Huvudgrupp Stationer
142799,RS Torekov,hidden,false,false,Huvudgrupp Stationer
142800,RS Gävle,hidden,false,false,Huvudgrupp Stationer
142801,RS Öregrund,hidden,false,false,Huvudgrupp Stationer
142802,RS Höganäs,hidden,false,false,Huvudgrupp Stationer
142803,RS Räfsnäs,hidden,false,false,Huvudgrupp Stationer
142805,RS Råå,hidden,false,false,Huvudgrupp Stationer
142806,RS Barsebäck,hidden,false,false,Huvudgrupp Stationer
142807,RS Lomma,hidden,false,false,Huvudgrupp Stationer
142808,RS Falsterbokanalen,hidden,false,false,Huvudgrupp Stationer
142809,RS Trelleborg,hidden,false,false,Huvudgrupp Stationer
142810,RS Ystad,hidden,false,false,Huvudgrupp Stationer
142811,RS Skillinge,hidden,false,false,Huvudgrupp Stationer
142812,RS Kivik,hidden,false,false,Huvudgrupp Stationer
142813,RS Åhus,hidden,false,false,Huvudgrupp Stationer
142815,RS Hörvik,hidden,false,false,Huvudgrupp Stationer
142817,RS Grönhögen,hidden,false,false,Huvudgrupp Stationer
142818,RS Möja,hidden,false,false,Huvudgrupp Stationer
142819,RS Stockholm,hidden,false,false,Huvudgrupp Stationer
142820,RS Munsö/Ekerö,hidden,false,false,Huvudgrupp Stationer
142821,RS Värmdö,hidden,false,false,Huvudgrupp Stationer
142822,RS Dalarö,hidden,false,false,Huvudgrupp Stationer
142823,RS Nynäshamn,hidden,false,false,Huvudgrupp Stationer
142824,RS Trosa,hidden,false,false,Huvudgrupp Stationer
142825,RS Loftahammar,hidden,false,false,Huvudgrupp Stationer
142826,RS Arkösund,hidden,false,false,Huvudgrupp Stationer
142827,RS Fårösund,hidden,false,false,Huvudgrupp Stationer
142828,RS Visby,hidden,false,false,Huvudgrupp Stationer
142829,RS Vändburg,hidden,false,false,Huvudgrupp Stationer
142830,RS Böda,hidden,false,false,Huvudgrupp Stationer
142832,RS Simpevarp,hidden,false,false,Huvudgrupp Stationer
142833,RS Mönsterås,hidden,false,false,Huvudgrupp Stationer
142834,RS Kalmar,hidden,false,false,Huvudgrupp Stationer
142835,RS Bergkvara,hidden,false,false,Huvudgrupp Stationer
142836,RS Hasslö,hidden,false,false,Huvudgrupp Stationer
142837,RS Sölvesborg,hidden,false,false,Huvudgrupp Stationer
142838,RS Växjö,hidden,false,false,Huvudgrupp Stationer
142839,RS Bolmen,hidden,false,false,Huvudgrupp Stationer
142840,RS Visingsö,hidden,false,false,Huvudgrupp Stationer
142841,RS Vadstena/Motala,hidden,false,false,Huvudgrupp Stationer
142842,RS Kållandsö,hidden,false,false,Huvudgrupp Stationer
142843,RS Mariestad,hidden,false,false,Huvudgrupp Stationer
142844,RS Åmål,hidden,false,false,Huvudgrupp Stationer
142845,RS Hammarö,hidden,false,false,Huvudgrupp Stationer
142846,RS Kristinehamn,hidden,false,false,Huvudgrupp Stationer
142847,RS Hjälmaren,hidden,false,false,Huvudgrupp Stationer
142848,RS Strängnäs,hidden,false,false,Huvudgrupp Stationer
142849,RS Västerås,hidden,false,false,Huvudgrupp Stationer
142850,RS Uppsala,hidden,false,false,Huvudgrupp Stationer
142851,RS Siljan/Runn,hidden,false,false,Huvudgrupp Stationer
142884,Samverkan Mälaren,public,false,false,Samverkansgrupper
